"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HATSUN","EQ","22-Feb-2021","        716.95","        715.80","        720.55","        707.00","        712.95","        712.70","        712.25","      18620","            13262150.15","       1415"
"HATSUN","EQ","23-Feb-2021","        712.70","        711.70","        714.50","        700.00","        702.45","        702.10","        707.43","      21574","            15262062.30","       2957"
"HATSUN","EQ","24-Feb-2021","        702.10","        730.00","        742.40","        700.00","        716.00","        717.55","        727.73","      69254","            50398177.65","       3789"
"HATSUN","EQ","25-Feb-2021","        717.55","        721.30","        724.60","        709.65","        716.50","        711.45","        715.37","      19242","            13765100.40","       1332"
"HATSUN","EQ","26-Feb-2021","        711.45","        739.70","        739.70","        705.50","        706.70","        716.95","        724.66","      88843","            64380884.35","       3825"
"HATSUN","EQ","01-Mar-2021","        716.95","        718.95","        729.00","        706.30","        724.90","        719.30","        716.94","      32258","            23127170.80","       2227"
"HATSUN","EQ","02-Mar-2021","        719.30","        723.10","        725.85","        708.95","        721.50","        718.90","        717.11","      27646","            19825337.15","       2254"
"HATSUN","EQ","03-Mar-2021","        718.90","        722.50","        742.00","        710.00","        727.00","        729.15","        728.17","      42026","            30601916.20","       2599"
"HATSUN","EQ","04-Mar-2021","        729.15","        722.50","        764.00","        722.05","        752.15","        751.05","        750.93","      88702","            66609058.55","       4071"
"HATSUN","EQ","05-Mar-2021","        751.05","        756.85","        780.00","        745.50","        765.00","        759.35","        756.80","      53958","            40835429.25","       3402"
"HATSUN","EQ","08-Mar-2021","        759.35","        763.30","        778.00","        756.95","        766.00","        763.85","        766.56","      71126","            54522222.35","       3582"
"HATSUN","EQ","09-Mar-2021","        763.85","        767.70","        779.00","        750.00","        754.00","        754.15","        769.05","      42379","            32591640.00","       2804"
"HATSUN","EQ","10-Mar-2021","        754.15","        754.00","        778.00","        754.00","        772.85","        772.45","        769.40","      43404","            33394942.90","       3479"
"HATSUN","EQ","12-Mar-2021","        772.45","        776.50","        803.95","        772.50","        786.00","        786.70","        789.75","     166530","           131517273.50","       8931"
"HATSUN","EQ","15-Mar-2021","        786.70","        786.00","        790.10","        760.00","        774.70","        772.05","        768.27","      48049","            36914412.55","       3989"
"HATSUN","EQ","16-Mar-2021","        772.05","        765.10","        774.80","        756.00","        760.00","        760.55","        765.29","      19479","            14907087.05","       1482"
"HATSUN","EQ","17-Mar-2021","        760.55","        754.00","        763.95","        735.00","        740.95","        737.70","        743.99","      13944","            10374203.40","       1274"
"HATSUN","EQ","18-Mar-2021","        737.70","        741.35","        745.35","        730.00","        745.10","        741.00","        737.53","      29510","            21764444.40","       2058"
"HATSUN","EQ","19-Mar-2021","        741.00","        740.90","        749.75","        720.70","        743.00","        744.00","        732.59","      21919","            16057546.00","       1874"
"HATSUN","EQ","22-Mar-2021","        744.00","        737.50","        743.95","        725.00","        731.00","        727.60","        731.59","      11284","             8255237.40","       1033"
"HATSUN","EQ","23-Mar-2021","        727.60","        727.60","        752.75","        725.05","        744.70","        741.95","        740.57","      23449","            17365690.20","       1524"
"HATSUN","EQ","24-Mar-2021","        741.95","        745.50","        749.60","        727.20","        729.00","        729.95","        737.96","      13226","             9760307.60","       1146"
"HATSUN","EQ","25-Mar-2021","        729.95","        729.95","        735.00","        715.00","        720.00","        721.40","        722.40","      11384","             8223783.50","       1146"
"HATSUN","EQ","26-Mar-2021","        721.40","        717.05","        748.95","        712.50","        723.75","        717.50","        726.26","      79648","            57845043.35","       2379"
